;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;duration;rating;score;ranked;popularity;members;favorites;demographic;platforms;synopsis;theme;genre
63;(OO);https://myanimelist.net/anime/51268/OO;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;(OO);Movie;1;Finished Airing;2017;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;6 min.;PG-13 - Teens 13 or older;N/A;#17409;#19503;130;1;;;;[];The happenings of someone's nostrils.  (Source: IMDB);;
64;Nantoka Tengoku;https://myanimelist.net/anime/40674/Nantoka_Tengoku;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ナントカ天国;Movie;1;Finished Airing;2016;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;22 min.;PG-13 - Teens 13 or older;N/A;#15017;#19518;129;0;;;;[];Anthology film by animation collective G9+1 about various interpretations of heaven.;;
65;Shirayukihime to 7-nin no Kokeshi;https://myanimelist.net/anime/51852/Shirayukihime_to_7-nin_no_Kokeshi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;～白雪姫と7人のこけし～;ONA;1;Finished Airing;Feb 8, 2018;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;19 sec.;None;N/A;#16561;#19522;129;0;;;;[];"A short animation with the theme of ""7"".";;
66;Ca' Foscari Cinema;https://myanimelist.net/anime/50371/Ca_Foscari_Cinema;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ベネチア大学映画先付;Movie;1;Finished Airing;Feb 9, 2011;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;24 sec.;R+ - Mild Nudity;N/A;#18127;#19541;128;0;;;;[];Shinya Tsukamoto’s animated promo for the Ca' Foscari Cinema in Venice.  (Source: Letterboxd);;
67;Blow Up 2;https://myanimelist.net/anime/38868/Blow_Up_2;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;BLOW UP 2;Movie;1;Finished Airing;2005;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;8 min.;None;N/A;#18001;#19548;127;0;;;;[];A film by Keiichi Tanaami.;;
68;Ke Ai;https://myanimelist.net/anime/52630/Ke_Ai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;可愛;Movie;1;Finished Airing;Dec 8, 2018;['None found', 'add some'];None found, add some;None found, add some;Original;;5 min.;R+ - Mild Nudity;N/A;N/A;#19552;127;0;['Avant Garde', 'Drama', 'Erotica'];;;[];A short film that directly gazes at lives and the society with observation and imagination. It is queer and it is here.  (Source: IMDB);;
69;Inside;https://myanimelist.net/anime/51767/Inside;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;INSIDE;Music;1;Finished Airing;Apr 28, 2022;['None found', 'add some'];None found, add some;Mimoid;Original;Avant Garde;3 min.;PG-13 - Teens 13 or older;N/A;#20025;#19583;126;0;;;;[];Music video for the song Inside by DUSTCELL.;Music;
70;Papa ga Tonda Asa;https://myanimelist.net/anime/52923/Papa_ga_Tonda_Asa;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;パパが飛んだ朝;Special;1;Finished Airing;1997;['None found', 'add some'];None found, add some;None found, add some;Original;;16 sec.;R - 17+ (violence & profanity);N/A;#15517;#19631;123;0;['Avant Garde', 'Horror', 'Suspense'];['Gore', 'Psychological'];;[];Short animation by Keita Kurosaka for MTV Japan.;;Flying Daddy
71;Abeojiuibang;https://myanimelist.net/anime/51599/Abeojiuibang;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;아버지의방;Movie;1;Finished Airing;Sep 2016;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;8 min.;R+ - Mild Nudity;N/A;#17462;#19638;122;0;;;;[];She was abused by her father during childhood. Since he left, the pain and anger had begun to fade. One day, unexpectedly, she was struck by a revelation about her father's life that cast her feelings about him into confusion.  (Source: IMDb);Psychological;
72;Castle;https://myanimelist.net/anime/52195/Castle;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Castle;Movie;1;Finished Airing;2019;['None found', 'add some'];None found, add some;None found, add some;Original;;5 min.;PG-13 - Teens 13 or older;N/A;#18180;#19642;122;1;['Avant Garde', 'Fantasy'];;;[];During the period of the 'Provinces at war', many lives were lost. A castle architect discovers the possible role of a tea room as a place for warriors to regain humanity.  (Source: Vimeo);;
73;M;https://myanimelist.net/anime/50238/M;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;M;Music;1;Finished Airing;Oct 19, 2021;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;G - All Ages;N/A;#14298;#19696;119;0;;;;[];"Music video by Densuke28 for the song M from the ninth album ""KNO WHERE"" by OKAMOTO'S.";;
74;Tokyo Mikansei;https://myanimelist.net/anime/40673/Tokyo_Mikansei;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;tokyo未完成;Movie;1;Finished Airing;2013;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;14 min.;G - All Ages;N/A;#17347;#19721;118;0;;;;[];The fifth anthology work by animation collective G9+1, about the forever unfinished city Tokyo.;Music;
75;Dao Zhi;https://myanimelist.net/anime/46588/Dao_Zhi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;倒置;Movie;1;Finished Airing;1990;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;6 min.;G - All Ages;N/A;#18620;#19734;117;1;;;;[];Experimental short film about animal exploitation from Chinese animator Liu Zuofeng.;;Inversion
76;Horizon Blue;https://myanimelist.net/anime/50255/Horizon_Blue;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ホライズンブルー;Movie;1;Finished Airing;2019;['None found', 'add some'];None found, add some;None found, add some;Manga;;1 hr. 52 min.;R - 17+ (violence & profanity);N/A;#19787;#19737;117;1;['Avant Garde', 'Drama'];;Seinen;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;Psychological;
77;Shizi Kua Xia;https://myanimelist.net/anime/52852/Shizi_Kua_Xia;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;狮子胯下;Music;1;Finished Airing;Dec 12, 2011;['None found', 'add some'];None found, add some;Wong Ping Animation Lab;Original;;4 min.;R+ - Mild Nudity;N/A;N/A;#19742;116;0;['Avant Garde', 'Erotica'];;;[];"""Under the Lion Crotch"" Here comes the end Our land is brutally torn apart by conglomerates Redevelopment swept across the city Their thriving business had left us homeless  Rotten city, rotten crowd Luxury clothing won't conceal the stench Top yourself and throw a curse Fill the streets with our merry hearses  Is the world going to end as we've been longing for? Destroy us all together with the chaos Set us free like the ashes in the wind  (Source: Vimeo)";Music;No One Remains Virgin
78;Radio Wave;https://myanimelist.net/anime/50754/Radio_Wave;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Radio Wave;Movie;1;Finished Airing;Mar 2017;['Geidai Animation'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;N/A;#15864;#19768;115;1;;;;[];Numbers stations were prominently used during the Cold War. A boy was tuning the radio in the snow mountain and happened to tune the shortwave of codes.;;
79;Wannabe;https://myanimelist.net/anime/50242/Wannabe;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Wannabe;Music;1;Finished Airing;2019;['None found', 'add some'];None found, add some;VCRWORKS;Original;Avant Garde;1 min.;G - All Ages;N/A;#20989;#19770;115;0;;;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;Music;
80;Yuwang Jungle;https://myanimelist.net/anime/53027/Yuwang_Jungle;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;欲望Jungle;Movie;1;Finished Airing;Sep 5, 2015;['None found', 'add some'];None found, add some;Wong Ping Animation Lab;Original;;6 min.;R+ - Mild Nudity;N/A;N/A;#19801;113;0;['Avant Garde', 'Erotica'];;;[];An impotent husband, an unsatisfied wife and a megalomaniac policeman. A perfect ecosystem in the concrete jungle. The jungle where you can truly face your lust with no moral laws.  (Source: Vimeo);;
81;Cairn no Kubi-tachi;https://myanimelist.net/anime/52743/Cairn_no_Kubi-tachi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;The Spirits of Cairn;Movie;1;Finished Airing;2018;['None found', 'add some'];None found, add some;None found, add some;Original;;7 min.;PG-13 - Teens 13 or older;N/A;#18140;#19813;113;0;['Avant Garde', 'Award Winning'];;;[];The Spirits of Cairn imagines a state of limbo which is the destination of those who die in childhood. The protagonist feels remorse about having died too young, but the emotion is just an echo and he has no idea how long he's been there, why he is there, or the source of his regret. His work of interring the many necks buried below the surface continues without end.  (Source: Official Site);;ケアンの首達
82;Coquetterie Dancer;https://myanimelist.net/anime/52008/Coquetterie_Dancer;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Coquetterie dancer;Music;1;Finished Airing;Dec 18, 2020;['None found', 'add some'];None found, add some;Uguisu Kobo;Original;Avant Garde;4 min.;PG-13 - Teens 13 or older;N/A;#18486;#19837;110;0;;;;[];Music video for the song Coquetterie Dancer by Yuu Miyashita.;Music;Yuu Miyashita x Nilfruits
83;Mayumi;https://myanimelist.net/anime/52417/Mayumi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;まゆみ;Movie;1;Finished Airing;2016;['Geidai Animation'];None found, add some;None found, add some;Original;;5 min.;PG-13 - Teens 13 or older;N/A;#14475;#19842;110;0;['Avant Garde', 'Suspense'];;;[];"Mayumi is a spoiled girl whose parents buy her everything she wants. She names her name ""Mayumi"" to everything she receives, and her room is gradually filled with many Mayumis. Mayumi herself gets swallowed by the characters of her name.  (Source: Geidai Animation)";Psychological;
84;Manxing Jie;https://myanimelist.net/anime/52851/Manxing_Jie;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;慢性节;Movie;1;Finished Airing;Oct 30, 2013;['None found', 'add some'];None found, add some;Wong Ping Animation Lab;Original;;2 min.;R+ - Mild Nudity;N/A;N/A;#19876;107;0;['Avant Garde', 'Erotica'];;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;;
85;Anning;https://myanimelist.net/anime/43651/Anning;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;安宁;Movie;1;Finished Airing;1988;['None found', 'add some'];None found, add some;Shanghai Animation Film Studio;Original;Avant Garde;3 min.;G - All Ages;N/A;#17606;#19921;105;0;;;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;;
86;Trip!-Trap!;https://myanimelist.net/anime/49603/Trip-Trap;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;TRIP!-TRAP!;Movie;1;Finished Airing;2005;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;5 min.;G - All Ages;N/A;#20710;#19913;105;0;;;;[];In the darkness of a cave, one man who had never seen even his own figure found a hollow flooded with light.;;
87;Under the Sun;https://myanimelist.net/anime/49029/Under_the_Sun;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;アンダー・ザ・サン;Movie;1;Finished Airing;1979;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;11 min.;G - All Ages;N/A;#20874;#19946;104;0;;;;[];Regarded as a creative extension of Stone, animation unfolds on a drawing paper placed on a field and farm.  (Source: Collaborative Cataloging Japan);Music;
88;Henkei Sakuhin Dai 5-ban: Rembrandt no Shudai ni yoru Henkei Kaitai to Saikousei;https://myanimelist.net/anime/43431/Henkei_Sakuhin_Dai_5-ban__Rembrandt_no_Shudai_ni_yoru_Henkei_Kaitai_to_Saikousei;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;変形作品第５番＜レンブラントの主題による変形解体と再構成＞;Movie;1;Finished Airing;1986;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;27 min.;G - All Ages;N/A;#19642;#19966;102;0;;;;[];The fifth entry in Kurosaka's Henkei Sakuhin experimental short film series.;;
89;Gouzai Shi de Ai;https://myanimelist.net/anime/53029/Gouzai_Shi_de_Ai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;狗仔式的愛;Movie;1;Finished Airing;Jul 27, 2015;['None found', 'add some'];None found, add some;Wong Ping Animation Lab;Original;;5 min.;R+ - Mild Nudity;N/A;N/A;#19996;101;0;['Avant Garde', 'Erotica'];;;[];Do you know the reason why love is shown in the shape of a red heart?  (Source: Vimeo);;
90;Ice Cream;https://myanimelist.net/anime/51380/Ice_Cream;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;アイスクリーム;Music;1;Finished Airing;Sep 25, 2019;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;G - All Ages;N/A;#19950;#20000;101;0;;;;[];Music video directed and animated by Makoto Kubota for the original song Ice Cream by Yoh Kamiyama.  (Source: AniList);Music;
91;Ni Yao Relie de Qin Qin Die;https://myanimelist.net/anime/53028/Ni_Yao_Relie_de_Qin_Qin_Die;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;你要热烈地亲亲爹;Movie;1;Finished Airing;Feb 9, 2017;['None found', 'add some'];None found, add some;Wong Ping Animation Lab;Original;;9 min.;R+ - Mild Nudity;N/A;N/A;#19982;101;0;['Avant Garde', 'Erotica'];;;[];A Tinder tragedy. An unexpected child. A journey finding my root of shame.  (Source: Vimeo);;
